,Loan Type,Product Name,Product Features,Eligibility Criteria
36,전월세/반환보증,KB스타 전세자금대출(갈아타기)(HF_한국주택금융공사),상품특징한국주택금융공사 보증서 담보로 지원하는 비대면 전용 전세대출상품,"대출신청자격「대출이동시스템」에 참여하는 타 금융기관의 ‘한국주택금융공사(HF)’ 전세자금 대출을 당행으로 전액 대환(차주 보유 전세자금대출이 1건인 경우만 가능) 신청하고, '한국주택금융공사' 보증서 발급이 가능하며, 다음 각 호의 요건을 모두 충족한 민법상 성년인 세대주1. 임차보증금이 수도권 7억원(그 외 지역 5억원) 이하인 임대차계약을 체결한 고객2. 임차보증금의 5% 이상을 지급한 고객3. 본인과 배우자(결혼예정자 포함)의 합산 주택수가 1주택* 이내인 경우* 보유 중인 주택이 2020.7.10일 이후 취득(상속제외)한 투기지역 또는 투기과열지구 소재한 주택으로서, 취득시점 주택가액이 3억원을 초과하는 아파트를 구입한 경우에는 대출대상에서 제외. [※실수요 예외인정 없음]4. 당행 개인신용평가시스템(CSS) 심사기준을 충족하는 고객5. 다음 중 하나에 해당하는 고객(가) 재직사실 확인 및 소득 증빙이 가능한 근로소득자(나) 최근년도 소득금액증명원 또는 사업소득원천징수영수증(연말정산용) 발급이 가능한 개인사업자(다) 무소득자(무직자)6. 공인중개업소를 통해 임대차계약을 체결한 자·임대인이 ‘공공주택사업자’ 또는 ‘공사가 인정한 임대사업자’인 경우 쌍방계약도 가능* 공사가 인정한 임대사업자 : ㈜부영주택, ㈜동광주택, ㈜우남건설, 제일건설㈜, 지에스건설㈜7. 본인 소득만으로 대출한도 부여가 가능한 고객 [※배우자 소득합산 불가]다음 각 항목의 하나에 해당하는 경우, 대출대상에서 제외한다.(1) 대출이동시스템을 통한 타행 상환조건부를 제외한 모든 조건부 대출(예 : 임차목적물 선순위 말소조건부 등)(2) 임대차 계약이 임차인 또는 임대인의 대리에 의한 계약인 경우(3) 공동임차인이 있거나 연대보증인을 입보해야하는 경우(4) 임대인이 미성년자 또는 외국인인 경우(5) 대상 목적물의 소유자가 신탁사인 경우(6) 임차목적물의 주택가격 산정 방법 중 감정평가협회에 등록된 평가기관을 통해 발급한 감정평가서를 대출 신청인에게 제출받아 주택가격을 산정하고자 하는 경우(7) 채권보전조치가 필요한 경우(8) 규제대상아파트 보유자로서 실수요 예외 인정사유에 해당하는 경우(9) 증액 금액이 없는 갱신계약 또는 잔금일 이후 신청한 갱신계약으로서 「DSR 적용대상」에 해당하는 경우(10) 한국주택금융공사 보증 심사 결과 추가 확인사항 또는 심층 심사 대상자인 경우(11) 본 건 이외 진행중인 다른 대출이 있는 경우(12) 배우자가 분양권(입주권)을 보유한 경우"
37,전월세/반환보증,KB WELCOME PLUS 전세자금대출,상품특징서울보증보험 보증부 전세자금 대출로 신규전세자금을 지원하는 대출상품입니다,"대출신청자격국내 거주 및 국내 소득이 3개월 이상 증빙 가능한 만19세이상 외국인 또는 외국국적동포이며 ""서울보증보험증권""이 발급되는 고객으로서 아래의 사항을 모두 충족하는 고객1. 부동산 중개업소를 통하여 주택임대차계약을 체결하고 임차보증금의 5% 이상을 지급한 경우2. 신규대출일 기준 비자 유효기간 3개월 이상인 고객(가입가능 비자유형 정함이 있음)3. 본인과 배우자(결혼예정자 포함)의 합산 주택수가 1주택* 이내인 경우* 보유 중인 주택이 2020.7.10일 이후 투기지역 또는 투기과열지구 내 소재한 주택으로서 취득시점 주택가액이 3억원을 초과하는 아파트를 구입한 경우에는 대출대상에서 제외. 단, 실수요 요건을 증빙하는 경우 신청 가능<서울보증보험(주) 개인금융신용보험증권 가입가능 비자유형>가입가능 비자유형체류자격 비자유형 체류자격 비자유형 체류자격 비자유형외교공무협정문화예술유학기술연수취재종교A-1A-2A-3D-1D-2D-3D-5D-6주재기업투자무역경영구직교수회화지도연구기술지도D-7D-8D-9D-10E-1E-2E-3E-4전문직업특정활동방문동거거주재외동포영주결혼이민방문취업E-5E-7F-1F-2F-4F-5F-6H-2"
38,자동차대출,KB 매직카대출(신차),"상품특징캐피탈 대비 유리한 금리조건으로 신규자동차를 구매하려는 고객을 위한 맞춤상품별도의 취급수수료, 보험료, 근저당설정 부담 없음KB국민카드로 결제시 캐시백 혜택 제공!","대출신청자격신차구입 목적으로 자동차판매회사(대리점)와 매매계약을 체결하고 소득증빙이 가능한 만 19세 이상 개인고객※ 대출대상 : 근로소득자(6개월 이상), 사업소득자(12개월 이상), 연금소득자※ 대상차종 : 승용차, 승합차, 화물차(5톤 이하) 및 대형이륜자동차(260CC초과)(개인택시, 캠핑카 및 카라반, 수입차 포함)"
39,신용대출,KB 안전망대출II [2023.1.31 판매중단],상품특징법정최고금리 인하에 따라 연20%초과 고금리 대출 만기 시 재이용이 어려워진 고객을 지원하기 위하여 「국민행복기금」의 신용보증을 통해 제도권 금융기관의 대출로 전환해주기 위한 한시적 대환상품,"대출신청자격연20% 초과 고금리대출* 이용고객 중 연소득 4천 5백만원 이하이면서 개인신용평점 하위 20% 이하 또는 연소득 3천 5백만원 이하인 고객으로 직업 및 소득이 있으며 국민행복기금 신용보증서 발급이 가능한 만 19세 이상인 고객법정 최고금리 인하일(‘21.7.7) 전 실행된 대출에 한함※ 근로소득자 및 사업소득자 : 재직(사업영위)기간 3개월 이상연금소득자(국민연금, 공무원연금, 군인연금, 사학연금에 한함) : 연금수령 1회 이상"
40,담보대출,임대주택 입주자 특례보증 전세자금대출,상품특징공공임대주택 입주(예정)자를 대상으로 보증한도를 확대(임차보증금의 90%)한 전세자금대출,"대출신청자격임차보증금 수도권 7억원(그 외 지역 5억원) 이하인 임대차계약을 체결하고 임차보증금의 5% 이상을 지급한 민법상 성년인 세대주 중 공공주택사업자 및 한국주택금융공사가 인정한 임대사업자 임대목적물에 입주(예정)자로 당행 대출심사를 통과한 고객본인과 배우자(결혼예정자 포함)의 합산 주택수가 1주택* 이내인 경우* 보유 중인 주택이 2020.7.10일 이후 투기지역 또는 투기과열지구 내 소재한 주택으로서 취득시점 주택가액이 3억원을 초과하는 아파트를 구입한 경우에는 대출대상에서 제외. 단, 실수요 요건을 증빙하는 경우 신청 가능"
41,신용대출,KB 사업자 가계행복대출[2021.03.30 판매중단],"상품특징자영업자 및 프리랜서 고객님들의 가계 생활안정자금 지원을 위한 상품'내맘대로 통장자동대출' 선택 시, 최초 약정한 금액 범위 내에서 사용한도의 자유로운 증액과 감액이 가능하며, 추가 우대금리가 제공됩니다.","대출신청자격다음 중 어느 하나에 해당하는 고객① 사업자등록증을 소지하고 현재 사업을 영위하고 있는 자영업자② 사업소득원천징수 대상자: 보험설계사, 자동차딜러, 학습지교사, 프리랜서, 직업운동가 등"
42,신용대출,KB 직장인든든 신용대출(금융인),"상품특징금융인을 위한'내맘대로 통장자동대출' 선택 시, 최초 약정한 금액 범위 내에서 사용한도의 자유로운 증액과 감액이 가능하며, 추가 우대금리가 제공됩니다.","대출신청자격제1금융기관(시중은행, 특수은행, 외국계은행, 지방은행) 및 금융관련기관 중 금융감독원, 금융결제원, 금융연수원, 전국은행연합회, 신용보증기금(기술, 지역 포함)에 3개월 이상 재직중인 정규직 임직원"
43,자동차대출,KB 매직카대출(중고차 대환),"상품특징다른 금융기관(은행권 제외)에서 받은 중고차할부금융을 KB국민은행으로 대환하고 분할상환하는 대출상품별도의 취급수수료, 보험료, 근저당설정 부담 없음","대출신청자격다른 금융기관(은행권 제외)에서 중고차 구매를 목적으로 받은 자동차할부금융(대출)을 KB국민은행으로 대환하고자 하는 고객으로서 소득증빙이 가능한 만 19세 이상 개인고객※ 대출대상 : 근로소득자(6개월 이상), 사업소득자(12개월 이상), 연금소득자※ 대상차종 : 승용차, 승합차 및 화물차(5톤 이하)(개인택시, 캠핑카 및 카라반, 수입차 포함)☞ 기존 자동차할부금융(대출) 대출실행일은 최초자동차등록일 전·후 30일 이내여야 합니다☞ 본건 대출실행일 기준 대환대출 해당 자동차는 최초자동차등록일로부터 15년 이내이고, 명의이전등록일로부터 5년 이내여야 합니다"
44,주택도시기금대출,신생아 특례 버팀목전세대출,상품특징대출접수일 기준 2년 내 자녀를 출산(입양 포함)한 가구(2023.1.1 이후 출생아부터 적용)를 위한 버팀목 전세자금대출부부합산 총소득이 1억3천만원 이하인 고객에게 임차보증금의 80%이내에서 최고 3억원이내 대출[국토교통부 주택도시기금 포털 바로가기][국토교통부 주택전세 지원마법사 바로가기],"대출신청자격주택임대차계약을 체결하여 임차보증금의 5% 이상 지불하고, 아래의 요건을 모두 갖춘 고객1. 대출신청일 현재 민법상 성년인 세대주주1) 또는 세대주로 인정되는 자주2)주1) 대출실행일로부터 1개월 이내에 세대분가 또는 세대합가로 인한 세대주 예정자 포함주2) 세대주로 인정되는 자ㅇ 세대주의 세대원인 배우자ㅇ 대출신청일로부터 3개월 이내에 결혼으로 인하여 세대주로 예정된 자2. 대출신청일 현재 세대주(예정자)를 포함한 세대원(예정자) 전원이 무주택인 고객3. 대출접수일 기준 2년 내 자녀를 출산(입양 포함)한 가구 (2023.1.1 이후 출생아부터 적용)4. 최근년도 또는 최근 1년간 부부합산 총소득이 1억3천만원 이하인 고객5. 대출신청인 및 배우자의 합산 순자산가액이 통계청에서 발표하는 최근년도 가계금융복지조사의 ‘소득 5분위별 자산 및 부채현황’ 중 소득 3분위 전체가구 평균값 이하인 고객(2022년 기준, 3억 6천 1백만원)※ 증액갱신계약(월세에서 전세로 전환 포함)의 경우, 주민등록등본상 임차목적물에 1년(공공임대주택은 3개월) 이상 거주한 고객(확정일자 필수)☞ 부부합산 총소득이란 차주 및 배우자(대출신청인이 혼인신고를 하지 않은 경우 신생아의 가족관계증명서상 등재된 신생아의 부모, 결혼예정자 포함)의 합산 소득임"
45,담보대출,사회적배려 대상자 특례보증 전세자금대출,상품특징사회적배려 대상자에게 우대금리(연 0.2%p)를 제공하는 전세자금대출,"대출신청자격임차보증금 수도권 7억원(그 외 지역 5억원) 이하인 임대차계약을 체결하고 임차보증금의 5% 이상을 지급한 민법상 성년인 세대주(또는 세대주 인정자)로서 한국주택금융공사의 「주택금융신용보증서」 발급이 가능한 고객국민기초생활수급자, 차상위계층, 중증장애인, 북한이탈주민, 자립아동, 소년소녀가정, 다문화가정, 노부모부양가정, 영구임대주택 입주가구, 소액임차인, 재난피해자 중 하나에 해당하는 고객본인과 배우자(결혼예정자 포함)의 합산 주택수가 1주택* 이내인 경우* 보유 중인 주택이 2020.7.10일 이후 투기지역 또는 투기과열지구 내 소재한 주택으로서 취득시점 주택가액이 3억원을 초과하는 아파트를 구입한 경우에는 대출대상에서 제외. 단, 실수요 요건을 증빙하는 경우 신청 가능대출실행일 기준 잔여 임대차 계약기간이 12개월 이상인 고객"
46,전월세/반환보증,서울특별시 신혼부부 임차보증금대출,상품특징서울특별시의 「신혼부부 임차보증금 지원사업」 융자추천고객을 대상으로이차보전금리를 지원하여 최고 3억원까지 낮은 금리로 이용 가능한 신혼부부 전용 임차보증금 대출서울특별시 「신혼부부 임차보증금 융자지원사업」 모집 공고는 서울주거포털(https://housing.seoul.go.kr/site/main/home)에서 확인하실 수 있습니다.,대출신청자격서울특별시의 융자추천을 받은 신혼부부(혼인기간이 7년 이내이거나 6개월 이내 결혼예정자) 중 부부합산 연소득 1억3천만원이하 민법상 성년인 무주택 세대주 또는 세대주로 인정되는 자로서 임차보증금 7억원 이하인 임대차계약을 체결하고 임차보증금의 5% 이상을 지급한 고객※ 본인 및 배우자(예정자 포함) 무주택자
47,전월세/반환보증,KB 플러스 전세자금대출 Ⅱ,상품특징서울보증보험 보증부 전세자금 대출로 신규전세자금 지원하는 대출상품,"대출신청자격현재 재직중인 직장에서 재직기간이 1년이상 된 민법상 성년인 세대주(단독세대주 포함)로서 ""서울보증보험 증권""이 발급되고 아래의 사항을 모두 충족하는 고객1. 부동산 중개업소를 통하여 주택임대차계약을 체결하고 임차보증금의 5% 이상을 지급한 경우2. 본인과 배우자(결혼예정자 포함)의 합산 주택수가 1주택* 이내인 경우* 보유 중인 주택이 2020.7.10일 이후 투기지역 또는 투기과열지구 내 소재한 주택으로서 취득시점 주택가액이 3억원을 초과하는 아파트를 구입한 경우에는 대출대상에서 제외. 단, 실수요 요건을 증빙하는 경우 신청 가능"
48,주택도시기금대출,청년전용 버팀목전세자금대출,상품특징청년 세대주 및 세대주예정자에게 임차보증금의 80%이내에서 최고 2억원까지 지원[국토교통부 주택도시기금 포털 바로가기][국토교통부 주택전세 지원마법사 바로가기],"대출신청자격만 19세~34세* 이하의 세대주 및 세대주예정자로 주택임대차계약을 체결하여 임차보증금의 5% 이상 지불하고,아래의 요건을 모두 갖춘 고객* 대출신청일 현재 중소기업 또는 중견기업에 재직하거나, 중소벤처기업진흥공단·신용보증기금·기술보증기금으로부터 창업관련 보증 또는 자금 지원을 받은 고객인 경우, 병역법에 따라 병역의무를 이행한 경우 만 34세 종료일로부터 병역 복무기간을 추가하여 최대 만 39세까지 신청 가능ㅇ 단, 중소·중견기업 재직자의 소속기업이 게임업 및 주점 등 사행성업종을 영위하거나 공무원, 공기업 등에 해당하는 경우 제외1. 대출신청일 현재 민법상 성년인 세대주(세대주 예정자 포함) 또는 세대주로 인정되는 자로서 세대주(예정자)를 포함한 세대원(예정자) 전원이 무주택인 고객2. 최근년도 또는 최근 1년간 부부합산 총소득이 5천만원 이하인 고객※ 단, 2자녀(미성년자) 이상 가구·혁신도시 이전 공공기관 종사자·타 지역으로 이주하는 재개발 구역 내 세입자는 6천만원 이하, 신혼가구는 7천5백만원 이하 3. 대출신청인 및 배우자의 합산 순자산가액이 통계청에서 발표하는 최근년도 가계금융복지조사의 ‘소득 5분위별 자산 및 부채현황’ 중 소득 3분위 전체가구 평균값 이하인 고객(2023년 기준, 3억 4천 5백만원)※ 증액갱신계약(월세에서 전세로 전환 포함)의 경우, 주민등록등본상 임차목적물에 1년(공공임대주택은 3개월) 이상 거주한 고객(확정일자 필수)☞ 부부합산 총소득이란 차주 및 배우자(결혼예정자 포함)의 근로소득(상여금 및 수당포함) 및 사업소득을 말함"
49,전월세/반환보증,KB스타 전세자금대출(HF_한국주택금융공사),상품특징전세 신규입주 또는 계약갱신을 하시는 고객님께 최고 임차보증금의 80%까지 한국주택금융공사 보증서 담보로 지원하는 대출상품,"대출신청자격‘한국주택금융공사’ 보증서 발급이 가능하며, 다음 각 호의 요건을 모두 충족한 민법상 성년인 세대주1. 임차보증금이 수도권 7억원(그 외 지역 5억원) 이하인 임대차계약을 체결한 고객2. 임차보증금의 5% 이상을 지급한 고객3. 본인과 배우자(결혼예정자 포함)의 합산 주택보유수*가 1주택 이내인 고객* 보유 중인 주택이 2020.7.10. 이후 취득(상속 제외)한 투기지역 또는 투기과열지구 소재 취득시점 3억원을 초과하는 아파트(이하 “규제대상아파트”라 함) 취득자에 대한 실수요 예외 인정 없음4. 당행 개인신용평가시스템(CSS) 심사기준을 충족하는 고객5. 다음 중 하나에 해당하는 고객(가) 재직사실 확인 및 소득 증빙이 가능한 근로소득자(나) 최근년도 소득금액증명원 또는 사업소득원천징수영수증(연말정산용) 발급이 가능한 개인사업자(다) 무소득자(무직자)6. 공인중개업소를 통해 임대차계약을 체결한 자ㅇ 임대인이 ‘공공주택사업자’ 또는 ‘공사가 인정한 임대사업자’인 경우 쌍방계약도 가능* 공사가 인정한 임대사업자 : ㈜부영주택, ㈜동광주택, ㈜우남건설, 제일건설㈜, 지에스건설㈜7. 본인 소득만으로 대출한도 부여가 가능한 고객(배우자 소득합산 불가위 요건을 모두 충족하고 아래 자격별 요건을 충족하는 경우 신혼부부 또는 다둥이가구 대출대상에 해당한다.1. 신혼부부: 대출신청인과 현재 배우자와의 혼인합산기간이 보증신청일로부터 7년 이내인 신혼부부 및 3개월 이내 결혼예정자2. 다둥이가구: 가족관계증명서상 민법상 미성년자(만 19세 미만)인 자녀가 2인 이상인 가구다음 각 호의 1에 해당하는 경우 대출대상에서 제외한다.(1) 당행 상환조건부를 제외한 모든 조건부 대출(예: 타행 상환조건부, 임차목적물 선순위 말소조건부 등)(2) 임대차 계약이 임차인 또는 임대인의 대리에 의한 계약인 경우(3) 공동임차인이 있거나 연대보증인을 입보해야하는 경우(4) 대상 목적물의 소유자가 신탁사인 경우(5) 임차목적물의 주택가격 산정 방법 중 감정평가협회에 등록된 평가기관을 통해 발급한 감정평가서를 대출 신청인에게 제출받아 주택가격을 산정하고자 하는 경우(6) 채권보전조치가 필요한 경우(7) 본 건 이외 진행중인 다른 대출이 있는 경우(8) 배우자가 분양권(입주권)을 보유한 경우(9) 임대인이 미성년자 또는 외국인인 경우(10) 증액 금액이 없는 갱신계약 또는 잔금일 이후 신청한 갱신계약으로서 「DSR 적용대상」에 해당하는 경우(11) 한국주택금융공사 보증 심사 결과 추가 확인사항 또는 심층 심사 대상자인 경우"
50,신용대출,KB 온국민 신용대출(신규),상품특징증빙소득 발생 직장인 누구나 신청 가능한 비대면 전용 신용대출 상품KB 스타뱅킹에서 간편하게 신규 가능한 비대면 전용 신용대출,"대출신청자격개인신용평가시스템(CSS)에 의해 대출적격자로 판정된 고객으로 재직기간이 1년 이상이면서 연소득 24백만원 이상 소득증빙이 가능한 근로소득자☞ 재직기간은 현직장 재직기간만 인정하며, 전직장 재직기간은 인정하지 않음☞ 건강보험자격득실확인서로 재직을 확인할 수 있는 근로소득자만 대상으로 함"
51,신용대출,KB 햇살론17[2021.07.06 판매중단],상품특징「국민행복기금」의 신용보증을 통한 고금리대출 대안 상품성실상환자 매 1년 마다 국민행복기금 보증료율 인하를 통해 금리부담 경감,"대출신청자격연소득 4천 5백만원 이하이면서 국민행복기금 신용등급 6등급 이하 또는 연소득 3천 5백만원 이하인 고객으로 직업 및 소득이 있으며, 국민행복기금의 신용보증서 발급이 가능한 만 19세 이상인 고객※ 근로소득자 및 사업소득자 : 재직(사업영위)기간 3개월 이상연금소득자(국민연금, 공무원연금, 군인연금, 사학연금에 한함) : 연금수령 1회 이상"
52,신용대출,KB 온국민 신용대출(갈아타기),상품특징증빙소득 발생 직장인 누구나 신청 가능한 비대면 전용 신용대출 상품KB 스타뱅킹에서 대출이동서비스를 통해 간편하게 대환 가능한 비대면 전용 신용대출,"대출신청자격개인신용평가시스템(CSS)에 의해 대출적격자로 판정된 고객으로 재직기간이 1년 이상이면서 연소득 24백만원 이상 소득증빙이 가능한 근로소득자☞ 재직기간은 현직장 재직기간만 인정하며, 전직장 재직기간은 인정하지 않음☞ 건강보험자격득실확인서로 재직을 확인할 수 있는 근로소득자만 대상으로 함"
53,신용대출,에이스(ACE) 전문직 무보증대출,"상품특징전문직에 근무하시는 분들께 무보증으로 간편하게 대출해 드리는 상품입니다.'내맘대로 통장자동대출' 선택 시, 최초 약정한 금액 범위 내에서 사용한도의 자유로운 증액과 감액이 가능하며, 추가 우대금리가 제공됩니다.","대출신청자격일정한 국내자격증을 소지한 현직종사자로서 수의사, 약사, 공인회계사, 세무사, 관세사, 변리사, 기술사, 도선사, 건축사, 법무사, 감정평가사, 공인노무사, 손해사정인* 기사 및 기능사자격증 소지자 제외"
54,신용대출,KB Star*t 신용대출[2019.09.27 판매중단],"상품특징사회에 첫발을 내딛는 새내기 대상 대출로, 우량 업체에 2년 미만 재직중인 신입사원을 위한 신용대출 상품","대출신청자격다음에 해당하는 우량업체에 재직중인 신입사원☞ 공무원/군인(장교 임관예정고객주1) 포함)/교직원: 재직기간 2년미만의 만 35세미만 고객☞ 기타 우량업체주2) : 재직기간 3개월 이상~2년미만의 연 환산소득 2천만원이상인 만 35세미만 고객주1) 장교 임관예정고객 기준- (육/해/공군)사관학교, 3사관학교, 학군단(ROTC)에서 교육중인 장교 임관 3개월 이전 고객주2) 기타우량업체 기준- 제1금융기관 및 기타 금융관련기관 (금융감독원, 금융결제원, 전국은행연합회, 신용보증기금)- 상호출자제한기업집단 및 일반기업 중 상장회사, 코스닥등록업체- 공공기관(공기업, 준정부기관, 기타공공기관, 지방공기업) 및 언론기관- 의료기관 중 병원급 이상- 금융기관 중 투자신탁회사, 종합금융회사, 손해/보증보험회사, 협동조합, 농축수임협단위조합, 새마을금고, 증권거래소, 보험협회, 카드사"
55,담보대출,임대주택중도금대출,상품특징입주자모집공고문상 10년이내에 분양전환이 가능한 임대아파트 분양자에 대한 중도금대출,대출신청자격분양전환 임대아파트에 대하여 임대분양계약을 체결한 고객(총 임대분양대금의 5%이상 계약금액 전액을 납부한 고객)
56,전월세/반환보증,목돈 안드는 행복 주택전세자금대출[2022.9.30판매중단],상품특징신규 전세계약 또는 계약갱신을 하시는 부부합산 연소득 6천만원 이하 무주택 고객님께한국주택금융공사 보증서 담보로 지원하는 대출상품,"대출신청자격주민등록등본상 부양가족이 있는 민법상 성년인 세대주로서 ""주택금융신용보증서""가 발급되는 고객 중 아래 내용을 모두 충족하시는 고객- 주택임대차계약을 체결하고 임차보증금의 5% 이상을 계약금으로 지급- 본인 및 배우자 모두 무주택이며 부부합산 연소득 6천만원 이하- 임차보증금이 수도권은 3억원 이하, 지방은 2억원 이하- 임차보증금 반환채권의 질권설정 또는 채권양도에 대하여 임대인의 동의가 가능하신 분※ 수도권 : 서울특별시, 인천광역시, 경기도 지역"
57,담보대출,KB 일반부동산 담보대출,상품특징일반부동산(주택 제외)을 담보로 신청가능한 대출상품,"대출신청자격일반부동산(상가, 오피스텔, 나대지 등)을 담보로 대출 신청하는 고객☞ 비대면 대출신청은 오피스텔만 가능"
58,담보대출,KB 가업승계기업 상속/증여세 납부자금대출(부동산담보)[2022.9.30 판매중단],상품특징가업승계기업의 후계자에게 상속 및 증여세 납부를 위한 자금을 지원하기 위한 대출상품,대출신청자격당행의 가업승계컨설팅 서비스를 받는 가업승계기업의 후계자
59,신용대출,KB Star 신용대출[2021.08.30 판매중단],"상품특징현직장 12개월이상 재직중인 근로소득자 및 KB국민은행 주거래고객을 대상으로 신청 가능한 비대면 전용 신용대출상품간편하게 대출신청이 가능하며, 복잡한 우대금리 조건없이 대출금리 적용",대출신청자격현직장 12개월이상 재직중인 근로소득자 및 KB국민은행 주거래고객 중 KB국민은행 개인신용평가시스템(CSS)에 의해 대출한도가 산정되는 고객
60,신용대출,KB 스마트 직장인대출[2019.09.27 판매중단],"상품특징비상장 대기업 및 일반 상장기업, 금융기관, 병원 등 우량업체 재직 임직원을 위한 신용대출'내맘대로 통장자동대출' 선택 시, 최초 약정한 금액 범위 내에서 사용한도의 자유로운 증액과 감액이 가능하며, 추가 우대금리가 제공됩니다.","대출신청자격다음에 해당하는 우량업체(기관)에 1년이상 재직중인 임직원☞ 상호출자제한기업 중 비상장회사☞ 일반기업 중 상장회사, 코스닥업체☞ 언론기관(전국일간지 및 방송3사 제외)☞ 의료기관 중 병원급 이상☞ 금융기관 중 증권회사, 투자신탁회사, 종합금융회사, 생명/손해/보증보험회사, 상호저축은행, 협동조합, 농·축·수·임협 단위조합, 새마을금고, 증권거래서, 보험협회, 카드사"
61,신용대출,KB 주거래고객 우대대출[2019.02.27 판매중단],상품특징KB국민은행 거래실적에 따라 대출한도를 산정하여 서류제출 없이 받을 수 있는 인터넷 / KB스타뱅킹 전용 신용대출KB스타클럽 고객등급에 따른 우대금리 제공,"대출신청자격KB스타클럽 MVP스타, 로얄스타, 골드스타 고객으로서 KB국민은행 개인신용평가시스템(CSS)에 의해 대출한도가 산정되는 고객"
62,담보대출,KB임대보증금반환자금보증대출,상품특징임차인에게 임대보증금을 반환하기 위한 자금을 임대인에게 지원하는 대출상품,"대출신청자격임대차계약의 기간 만료(임대차계약 기간 만료 후 동일한 주택에서 동일한 임차인과 임대보증금을 인하하여 계약갱신하는 경우 포함) 등으로 임차인에게 임대보증금을 반환하기 위하여 대출을 받고자 하는 임대인으로 「주택금융신용보증서」가 발급되는 개인※ 임대인이 이미 임차인에게 임대보증금을 반환한 경우나 대상 주택 또는 대출신청인 및 배우자가 소유한 거주지의 부동산등기사항전부증명서에 소유권의 권리침해(압류, 가압류, 경매 등)가 있는 경우는 대출대상에서 제외됩니다.대출신청일 현재 임차인이 대상주택에 대항력(확정일자 및 전입)을 유지하고 있어야 합니다.※ 임차인이 임차권 등기 또는 전세권을 설정한 후 전출하였다면 전입 유지한 것으로 간주"
63,신용대출,KB 비상금대출,상품특징서울보증보험㈜ 개인금융신용보험증권 담보 소액신용대출,대출신청자격서울보증보험㈜의 개인금융신용보험증권 발급가능한 만19세 이상 내국인
64,신용대출,KB 개인택시 행복대출,상품특징개인택시 사장님께 생활자금을 지원하는 개인택시사업자 전용 대출상품서울보증보험(주) 보험증권을 통해 저렴한 대출금리와 한도 제공(보험료 은행부담),"대출신청자격개인택시 영업중인 사업자(휴·폐업자 제외)로서 서울보증보험(주) 보험증권 발급이 가능한 개인 고객※ 서울보증보험(주) 보험증권 발급 대상자- 개인택시면허(택시운전자격) 소지자로서 본인차량을 소유한 고객- 개인택시 차량에 소유권 권리침해 또는 근저당권 설정이 없는 고객* 단 아래에 해당하는 경우에는 제한사항으로 보지 않음1) 택시 구입관련 금융기관 근저당설정(단, 대출실행일 및 근저당권 설정일이 자동차등록일 전후 30일 이내인 경우에 한함)2) 택시 영업관련 LPG충전소 근저당설정(단, 근저당권 설정액이 3백만원 이하이고, 근저당권자가 충전소 사업자와 일치하는 경우에 한함)"
65,주택도시기금대출,오피스텔구입자금대출,상품특징전용면적 60㎡ 이하의 오피스텔을 구입하려는 부부합산 총소득 6천만원 이하인 자에게 호당 7천만원(다자녀가구 7천5백만원) 이내에서 지원[국토교통부 주택도시기금 포털 바로가기][국토교통부 오피스텔구입 지원마법사 바로가기],"대출신청자격오피스텔 구입을 계획 중이며, 다음의 요건을 모두 구비한 고객1. 대출신청일 현재 민법상 성년이며, 부양가족이 있는 세대주(만 30세 이상은 단독세대주도 가능, 만 30세 미만 미혼세대주는 직계존속 중 1인이상과 동일세대를 구성하는 경우 주민등록표 상 합가일이 6개월 이상인 자)또는 세대주로 인정되는 자로서 세대주를 포함한 세대원 전원이 무주택인 자2. 최근년도 또는 최근 1년간 부부합산 총소득이 6천만원 이하인 자3. 대출신청인 및 배우자의 합산 순자산가액이 통계청에서 발표하는 최근년도 가계금융복지조사결과의 ‘소득 5분위별 자산 및 부채현황’ 중 소득 4분위 전체가구 평균값 이하인 자(2023년 기준, 4억 6천 9백만원)※ 부부합산 총소득이란 차주 및 배우자(결혼예정자 포함)의 근로소득(상여금 및 수당 포함) 및 사업소득을 말함"
66,담보대출,주택담보대출 채무조정 전환제도,상품특징기존의 가계주택담보대출을 만기연장 및 상환부담을 완화할 수 있는 대출로 전환,대출신청자격대출신규일로부터 1년이상 경과된 가계주택담보대출 보유고객
